X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
-3.17624,47.36244,0,0,206,20,2023/05/18 19:01:31+02,,,,,,,,,,,,,,,,,,,,,
-3.176555,47.362535,0,0,207,20,2023/05/18 19:01:12+02,,,,,,,,,,,,,,,,,,,,,
-3.176884,47.362485,0,0,208,23,2023/05/18 19:00:48+02,,,,,,,,,,,,,,,,,,,,,
-3.177213,47.362522,0,0,209,24,2023/05/18 19:00:17+02,,,,,,,,,,,,,,,,,,,,,
-3.177553,47.362472,0,0,210,26,2023/05/18 18:59:57+02,,,,,,,,,,,,,,,,,,,,,
-3.17788,47.362529,0,0,211,26,2023/05/18 18:59:18+02,,,,,,,,,,,,,,,,,,,,,
-3.177854,47.362754,0,0,212,20,2023/05/18 18:58:59+02,,,,,,,,,,,,,,,,,,,,,
-3.177941,47.362982,0,0,213,15,2023/05/18 18:58:38+02,,,,,,,,,,,,,,,,,,,,,
-3.178406,47.363302,0,0,214,15,2023/05/18 18:58:01+02,,,,,,,,,,,,,,,,,,,,,
-3.178714,47.363409,0,0,215,17,2023/05/18 18:57:41+02,,,,,,,,,,,,,,,,,,,,,
-3.179041,47.363464,0,0,216,20,2023/05/18 18:57:23+02,,,,,,,,,,,,,,,,,,,,,
-3.179439,47.36345,0,0,217,23,,,,,,,,,,,,,,,,,,,,,,
-3.179621,47.363637,0,0,218,18,2023/05/18 18:56:42+02,,,,,,,,,,,,,,,,,,,,,
-3.179938,47.36372,0,0,219,17,2023/05/18 18:56:25+02,,,,,,,,,,,,,,,,,,,,,
-3.180255,47.363804,0,0,220,16,2023/05/18 18:56:07+02,,,,,,,,,,,,,,,,,,,,,
-3.180605,47.363832,0,0,221,16,2023/05/18 18:55:47+02,,,,,,,,,,,,,,,,,,,,,
-3.180948,47.363842,0,0,222,16,2023/05/18 18:55:31+02,,,,,,,,,,,,,,,,,,,,,
-3.18128,47.363829,0,0,223,15,2023/05/18 18:55:13+02,,,,,,,,,,,,,,,,,,,,,
-3.181926,47.363722,0,0,224,13,2023/05/18 18:53:35+02,,,,,,,,,,,,,,,,,,,,,
-3.182101,47.363529,0,0,225,14,2023/05/18 18:53:12+02,,,,,,,,,,,,,,,,,,,,,
-3.182375,47.363406,0,0,226,13,,,,,,,,,,,,,,,,,,,,,,
-3.182485,47.363453,0,0,227,11,2023/05/18 18:52:38+02,,,,,,,,,,,,,,,,,,,,,
-3.182987,47.363684,0,0,228,12,2023/05/18 18:51:27+02,,,,,,,,,,,,,,,,,,,,,
-3.183178,47.363707,0,0,229,14,,,,,,,,,,,,,,,,,,,,,,
-3.183295,47.363637,0,0,230,16,2023/05/18 18:50:58+02,,,,,,,,,,,,,,,,,,,,,
-3.183435,47.363547,0,0,231,19,,,,,,,,,,,,,,,,,,,,,,
-3.183629,47.363528,0,0,232,21,2023/05/18 18:50:34+02,,,,,,,,,,,,,,,,,,,,,
-3.183963,47.363601,0,0,233,22,2023/05/18 18:50:14+02,,,,,,,,,,,,,,,,,,,,,
-3.184571,47.363769,0,0,234,21,2023/05/18 18:49:33+02,,,,,,,,,,,,,,,,,,,,,
-3.184908,47.36378,0,0,235,22,2023/05/18 18:49:13+02,,,,,,,,,,,,,,,,,,,,,
-3.185263,47.363723,0,0,236,24,2023/05/18 18:48:56+02,,,,,,,,,,,,,,,,,,,,,
-3.185488,47.363552,0,0,237,28,2023/05/18 18:48:36+02,,,,,,,,,,,,,,,,,,,,,
-3.185823,47.363487,0,0,238,30,2023/05/18 18:48:19+02,,,,,,,,,,,,,,,,,,,,,
-3.186153,47.363424,0,0,239,31,2023/05/18 18:48:01+02,,,,,,,,,,,,,,,,,,,,,
-3.186486,47.363414,0,0,240,31,2023/05/18 18:47:45+02,,,,,,,,,,,,,,,,,,,,,
-3.186766,47.363291,0,0,241,32,2023/05/18 18:47:24+02,,,,,,,,,,,,,,,,,,,,,
-3.187101,47.363242,0,0,242,31,2023/05/18 18:47:02+02,,,,,,,,,,,,,,,,,,,,,
-3.187416,47.363319,0,0,243,29,2023/05/18 18:46:44+02,,,,,,,,,,,,,,,,,,,,,
-3.187751,47.363372,0,0,244,28,2023/05/18 18:46:18+02,,,,,,,,,,,,,,,,,,,,,
-3.188067,47.363481,0,0,245,24,2023/05/18 18:46:01+02,,,,,,,,,,,,,,,,,,,,,
-3.18836,47.363535,0,0,246,22,2023/05/18 18:45:41+02,,,,,,,,,,,,,,,,,,,,,
-3.188608,47.363704,0,0,247,16,2023/05/18 18:45:17+02,,,,,,,,,,,,,,,,,,,,,
-3.188946,47.363707,0,0,248,14,2023/05/18 18:44:56+02,,,,,,,,,,,,,,,,,,,,,
-3.1891,47.363666,0,0,249,14,,,,,,,,,,,,,,,,,,,,,,
-3.189263,47.36364,0,0,250,13,2023/05/18 18:44:12+02,,,,,,,,,,,,,,,,,,,,,
-3.189608,47.363591,0,0,251,11,2023/05/18 18:43:41+02,,,,,,,,,,,,,,,,,,,,,
-3.189975,47.363231,0,0,252,13,2023/05/18 18:42:54+02,,,,,,,,,,,,,,,,,,,,,
-3.190313,47.363227,0,0,253,12,2023/05/18 18:42:25+02,,,,,,,,,,,,,,,,,,,,,
-3.190603,47.363096,0,0,254,13,2023/05/18 18:42:02+02,,,,,,,,,,,,,,,,,,,,,
-3.19082,47.362922,0,0,255,15,2023/05/18 18:41:48+02,,,,,,,,,,,,,,,,,,,,,
-3.191156,47.362869,0,0,256,15,2023/05/18 18:39:16+02,,,,,,,,,,,,,,,,,,,,,
-3.191401,47.363039,0,0,257,13,2023/05/18 18:38:57+02,,,,,,,,,,,,,,,,,,,,,
-3.191488,47.363265,0,0,258,12,2023/05/18 18:38:34+02,,,,,,,,,,,,,,,,,,,,,
-3.191459,47.363495,0,0,259,14,2023/05/18 18:38:12+02,,,,,,,,,,,,,,,,,,,,,
-3.191323,47.363705,0,0,260,14,2023/05/18 18:37:43+02,,,,,,,,,,,,,,,,,,,,,
-3.19116,47.363904,0,0,261,14,2023/05/18 18:37:23+02,,,,,,,,,,,,,,,,,,,,,
-3.19105,47.364125,0,0,262,14,2023/05/18 18:37:02+02,,,,,,,,,,,,,,,,,,,,,
-3.191017,47.364339,0,0,263,13,2023/05/18 18:36:41+02,,,,,,,,,,,,,,,,,,,,,
-3.190978,47.364499,0,0,264,11,,,,,,,,,,,,,,,,,,,,,,
-3.191132,47.364549,0,0,265,13,,,,,,,,,,,,,,,,,,,,,,
-3.191229,47.364692,0,0,266,13,2023/05/18 18:34:59+02,,,,,,,,,,,,,,,,,,,,,
-3.191475,47.364701,0,0,267,15,,,,,,,,,,,,,,,,,,,,,,
